City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
349,Kyaikto,MM,17.3,97.0167,82.09,100,3.65,light rain
350,Cape Town,ZA,-33.9258,18.4232,66.0,0,13.8,clear sky
351,Kalmar,SE,56.6616,16.3616,37.99,84,2.3,broken clouds
352,Iwanai,JP,42.9744,140.5089,38.19,95,16.73,overcast clouds
353,Mayo,US,38.8876,-76.5119,59.0,90,6.91,light rain
354,Baruun-Urt,MN,46.6806,113.2792,37.81,100,23.04,overcast clouds
355,Mimongo,GA,-1.6195,11.6068,70.59,100,2.3,light rain
356,Panguipulli,CL,-39.6333,-72.3333,68.0,40,10.36,scattered clouds
357,Cururupu,BR,-1.8283,-44.8683,85.33,100,6.46,overcast clouds
358,Miraflores,MX,19.2167,-98.8083,77.0,40,9.22,scattered clouds
359,Narsaq,GL,60.9167,-46.05,41.0,20,6.91,few clouds
360,Alyangula,AU,-13.8483,136.4192,75.2,90,1.14,overcast clouds
361,Miri,MY,4.4148,114.0089,75.2,40,3.44,scattered clouds
362,Ereymentau,KZ,51.6199,73.1033,41.49,0,2.77,clear sky
363,Lima,PE,-12.0432,-77.0282,73.0,20,6.91,few clouds
364,Flinders,AU,-34.5833,150.8552,57.0,40,1.01,scattered clouds
365,Sedalia,US,38.7045,-93.2283,55.99,1,8.05,clear sky
366,Callaway,US,30.153,-85.5699,79.0,75,14.97,broken clouds
